Index,Mac
10/1/98,1440
10/2/98,1304.207957
10/3/98,1408.484131
10/4/98,1367.77806
10/5/98,1377.741135
10/6/98,1380.347817
10/7/98,1391.027611
10/8/98,1368.582073
10/9/98,1375.003595
10/10/98,1363.554957
10/11/98,1385.214324
10/12/98,1396.384185
10/13/98,1351.356405
10/14/98,1359.809583
10/15/98,1323.467212
10/16/98,1337.520871
10/17/98,1307.724719
10/18/98,1403.892775
10/19/98,1412.267355
10/20/98,1335.211243
10/21/98,1434.576926
10/22/98,1275.005233
10/23/98,1423.38606
10/24/98,1290.69918
10/25/98,1277.935845
10/26/98,1397.18822
10/27/98,1423.019153
10/28/98,1290.124794
10/29/98,1290.937868
10/30/98,1403.301351
10/31/98,1326.374853
11/1/98,1360.389599
11/2/98,1285.154463
11/3/98,1393.236099
11/4/98,1379.493161
11/5/98,1268.337696
11/6/98,1391.989294
11/7/98,1394.541603
11/8/98,1341.864052
11/9/98,1437.216178
11/10/98,1261.600506
11/11/98,1313.780268
11/12/98,1427.182121
11/13/98,1419.917788
11/14/98,1425.13321
11/15/98,1436.231507
11/16/98,1411.456399
11/17/98,1358.79874
11/18/98,1327.144949
11/19/98,1404.059143
11/20/98,1307.728846
11/21/98,1343.314108
11/22/98,1281.385451
11/23/98,1430.220132
11/24/98,1377.385755
11/25/98,1329.511306
11/26/98,1317.763367
11/27/98,1288.699639
11/28/98,1369.827116
11/29/98,1428.521539
11/30/98,1274.223035
12/1/98,1408.736901
12/2/98,1421.190039
12/3/98,1310.20358
12/4/98,1319.890241
12/5/98,1370.549094
12/6/98,1318.573147
12/7/98,1383.375189
12/8/98,1416.54279
12/9/98,1430.548469
12/10/98,1425.285243
12/11/98,1412.70572
12/12/98,1300.06845
12/13/98,1304.2665
12/14/98,1389.021812
12/15/98,1357.425776
12/16/98,1384.271547
12/17/98,1304.112966
12/18/98,1305.632915
12/19/98,1337.938556
12/20/98,1399.189491
12/21/98,1424.48493
12/22/98,1366.430232
12/23/98,1286.148852
12/24/98,1402.655629
12/25/98,1323.660136
12/26/98,1337.241166
12/27/98,1347.764501
12/28/98,1293.923915
12/29/98,1349.202032
12/30/98,1417.328699
12/31/98,1342.18692
1/1/99,1260
1/2/99,1270.407676
1/3/99,1266.546602
1/4/99,1264.106379
1/5/99,1268.439339
1/6/99,1262.986758
1/7/99,1269.475446
1/8/99,1263.394914
1/9/99,1279.689429
1/10/99,1265.723845
1/11/99,1283.706193
1/12/99,1286.610128
1/13/99,1269.018185
1/14/99,1283.239818
1/15/99,1267.645696
1/16/99,1277.331039
1/17/99,1285.793349
1/18/99,1288.877313
1/19/99,1277.053357
1/20/99,1261.732028
1/21/99,1281.508469
1/22/99,1270.959336
1/23/99,1272.309771
1/24/99,1278.96883
1/25/99,1275.615307
1/26/99,1260.627825
1/27/99,1282.391387
1/28/99,1275.309953
1/29/99,1263.228501
1/30/99,1260.162913
1/31/99,1277.535349
2/1/99,1262.918264
2/2/99,1282.062159
2/3/99,1285.574616
2/4/99,1284.252308
2/5/99,1284.332353
2/6/99,1287.627685
2/7/99,1271.581827
2/8/99,1280.530322
2/9/99,1289.405695
2/10/99,1280.216921
2/11/99,1277.202522
2/12/99,1269.943229
2/13/99,1286.577402
2/14/99,1273.522914
2/15/99,1274.867923
2/16/99,1287.176511
2/17/99,1278.315549
2/18/99,1270.550467
2/19/99,1276.062521
2/20/99,1281.522583
2/21/99,1283.072341
2/22/99,1269.134594
2/23/99,1270.021495
2/24/99,1283.834135
2/25/99,1269.160801
2/26/99,1281.993968
2/27/99,1270.552259
2/28/99,1268.052453
3/1/99,1271.059843
3/2/99,1284.771489
3/3/99,1268.510105
3/4/99,1277.949169
3/5/99,1268.545575
3/6/99,1279.305896
3/7/99,1288.304637
3/8/99,1269.956252
3/9/99,1267.343659
3/10/99,1275.111784
3/11/99,1272.259262
3/12/99,1287.069707
3/13/99,1278.78736
3/14/99,1274.87361
3/15/99,1273.902146
3/16/99,1289.716495
3/17/99,1279.301919
3/18/99,1273.948011
3/19/99,1261.632847
3/20/99,1288.335861
3/21/99,1261.177391
3/22/99,1271.832472
3/23/99,1284.71269
3/24/99,1277.052484
3/25/99,1269.176138
3/26/99,1263.155949
3/27/99,1287.455903
3/28/99,1266.857795
3/29/99,1282.334338
3/30/99,1283.336998
3/31/99,1275.514927
4/1/99,1290
4/2/99,1105.523267
4/3/99,1150.387964
4/4/99,1094.580215
4/5/99,1187.475781
4/6/99,1093.633912
4/7/99,1167.213072
4/8/99,1148.773238
4/9/99,1225.881652
4/10/99,1271.588528
4/11/99,1095.31201
4/12/99,1285.773622
4/13/99,1149.631138
4/14/99,1201.535509
4/15/99,1261.746712
4/16/99,1244.586913
4/17/99,1257.850617
4/18/99,1163.388013
4/19/99,1248.2403
4/20/99,1125.875768
4/21/99,1178.596163
4/22/99,1244.098812
4/23/99,1164.349321
4/24/99,1222.528806
4/25/99,1165.481348
4/26/99,1106.716421
4/27/99,1146.126607
4/28/99,1104.050638
4/29/99,1208.594669
4/30/99,1114.20746
5/1/99,1180.489678
5/2/99,1274.209826
5/3/99,1148.870927
5/4/99,1170.832066
5/5/99,1153.856175
5/6/99,1168.927442
5/7/99,1092.990923
5/8/99,1232.124129
5/9/99,1204.013793
5/10/99,1131.650222
5/11/99,1180.456709
5/12/99,1151.112924
5/13/99,1110.707394
5/14/99,1256.212366
5/15/99,1171.315445
5/16/99,1143.569105
5/17/99,1169.654538
5/18/99,1113.991923
5/19/99,1202.540341
5/20/99,1133.304912
5/21/99,1093.13641
5/22/99,1248.197796
5/23/99,1156.228921
5/24/99,1116.248491
5/25/99,1241.446731
5/26/99,1207.81844
5/27/99,1156.718621
5/28/99,1151.850941
5/29/99,1188.685548
5/30/99,1216.577882
5/31/99,1105.127373
6/1/99,1289.664294
6/2/99,1195.63673
6/3/99,1218.651688
6/4/99,1265.291772
6/5/99,1244.598006
6/6/99,1239.328694
6/7/99,1095.516445
6/8/99,1136.210656
6/9/99,1093.239478
6/10/99,1217.010502
6/11/99,1266.831082
6/12/99,1183.333038
6/13/99,1256.834402
6/14/99,1206.977857
6/15/99,1180.142536
6/16/99,1234.948851
6/17/99,1223.497594
6/18/99,1250.850786
6/19/99,1128.616825
6/20/99,1261.792031
6/21/99,1130.899558
6/22/99,1093.819298
6/23/99,1090.758782
6/24/99,1284.487343
6/25/99,1112.167466
6/26/99,1161.523195
6/27/99,1122.74784
6/28/99,1167.167786
6/29/99,1109.507682
6/30/99,1252.938232
7/1/99,1090
7/2/99,1760.650086
7/3/99,1275.925941
7/4/99,1112.425239
7/5/99,1906.730074
7/6/99,1263.933923
7/7/99,1467.42769
7/8/99,1445.815658
7/9/99,1324.806691
7/10/99,1676.151029
7/11/99,1968.985638
7/12/99,1275.484936
7/13/99,1648.911687
7/14/99,1952.311291
7/15/99,1532.356713
7/16/99,1251.439724
7/17/99,1591.524372
7/18/99,1782.169671
7/19/99,1364.459708
7/20/99,1483.189528
7/21/99,1113.528931
7/22/99,1614.866564
7/23/99,1904.721443
7/24/99,1459.562941
7/25/99,1173.096151
7/26/99,1592.789038
7/27/99,1611.545087
7/28/99,1523.343892
7/29/99,2022.130296
7/30/99,1235.208766
7/31/99,1582.233323
8/1/99,1777.657179
8/2/99,2044.846492
8/3/99,1335.244049
8/4/99,1347.182415
8/5/99,1978.876497
8/6/99,1998.6201
8/7/99,1356.776153
8/8/99,1885.993576
8/9/99,2020.72497
8/10/99,1126.042903
8/11/99,1324.62761
8/12/99,1530.481821
8/13/99,1190.089941
8/14/99,1487.269734
8/15/99,1284.149993
8/16/99,1434.779804
8/17/99,1865.418666
8/18/99,1453.607581
8/19/99,1903.486894
8/20/99,1734.574103
8/21/99,1847.696739
8/22/99,1109.634294
8/23/99,2025.345035
8/24/99,1478.432618
8/25/99,1206.591198
8/26/99,1677.586777
8/27/99,1440.785285
8/28/99,1497.939907
8/29/99,1948.128545
8/30/99,1297.511682
8/31/99,1217.365777
9/1/99,1262.518649
9/2/99,1628.825627
9/3/99,1157.991331
9/4/99,1317.802758
9/5/99,1552.217482
9/6/99,1532.936251
9/7/99,1635.046947
9/8/99,1804.896478
9/9/99,1328.215372
9/10/99,1464.111774
9/11/99,1587.475044
9/12/99,1413.174593
9/13/99,1808.101124
9/14/99,1115.841785
9/15/99,1332.85032
9/16/99,1326.462046
9/17/99,1368.420812
9/18/99,2010.614051
9/19/99,1629.96135
9/20/99,1946.217715
9/21/99,1564.983269
9/22/99,1313.867248
9/23/99,1358.817956
9/24/99,1790.848349
9/25/99,1751.121606
9/26/99,2053.091634
9/27/99,1127.91164
9/28/99,1208.124909
9/29/99,1096.259605
9/30/99,1816.40429
10/1/99,2070
10/2/99,1844.580748
10/3/99,2002.406963
10/4/99,1721.485034
10/5/99,1724.699852
10/6/99,1717.080747
10/7/99,1879.177487
